time,W1L1,W1L2,W1L3,W1L4,W2L1,W2L2,W2L3,W2L4,S1L1,S1L2,S1L3,S1L4,S2L1,S2L2,S2L3,S2L4,C1L1,C1L2,C1L3,C1L4,C2L1,C2L2,C2L3,C2L4,W2L4Q,GS1,ES1,PC1,GS2,ES2,PC2,GS3,ES3,PC3,GS4,ES4,PC4,SK1L2,SK2L4,T1L2,W1QIE,W1QII,W1QAQ,W1QT,W1WC,W2QIE,W2QII,W2QAQ,W2QT,W2WC
7305.000000000,0.1229139017,0.1483877953,0.5604727974E-02,0.3329191734E-02,0.1225488061E-01,0.8846730669E-02,0.5154941013E-01,0.1738145382,-0.2051012258E-01,0.1250856351E-01,0.000000000,0.2515389309E-02,-0.1010528206E-01,0.6250157772E-02,0.000000000,0.1043335146E-01,0.1024037791,0.1608963589,0.5604727974E-02,0.5844581043E-02,0.2149598553E-02,0.1509688844E-01,0.5154941013E-01,0.1842478897,26.72953072,193.1060451,137.5679586,137.3146187,500.6060451,295.2249812,294.9723943,597.6060451,334.5848756,335.2821715,1009.606045,538.9395054,547.2837209,0.1318079752E-02,0.8247423398E-03,0.4488316191,0.000000000,53.41430732,1.509474447,54.92378177,1.041454053,0.000000000,25.94540299,0.7841277347,26.72953072,1.120369261
7670.250000000,0.1262644026,0.1531044143,0.5691578247E-02,0.3432517192E-02,0.1244004729E-01,0.9021431397E-02,0.5348815454E-01,0.1761269856,-0.2076434211E-01,0.1264185394E-01,0.000000000,0.2593457433E-02,-0.1032076832E-01,0.6373582702E-02,0.000000000,0.1050323876E-01,0.1055000605,0.1657462682,0.5691578247E-02,0.6025974624E-02,0.2119278975E-02,0.1539501410E-01,0.5348815454E-01,0.1866302244,26.08990771,193.0058739,137.8132053,137.5679586,500.5058739,295.4695179,295.2249812,597.5058739,334.8112615,335.2821715,1009.505874,539.1476927,547.2837209,0.1316592489E-02,0.8243874766E-03,0.4487943998,0.000000000,51.65359560,1.459717191,53.11331279,1.008040837,0.000000000,25.32454372,0.7653639880,26.08990771,1.092070057
8035.500000000,0.1294842395,0.1576775633,0.5776073588E-02,0.3533421936E-02,0.1261803280E-01,0.9191252025E-02,0.5537797299E-01,0.1783877929,-0.2101134797E-01,0.1277108994E-01,0.000000000,0.2669696573E-02,-0.1053071743E-01,0.6493559872E-02,0.000000000,0.1057156538E-01,0.1084728915,0.1704486533,0.5776073588E-02,0.6203118510E-02,0.2087315365E-02,0.1568481190E-01,0.5537797299E-01,0.1889593583,25.50728440,192.9086500,138.0512362,137.8132053,500.4086500,295.7068759,295.4695179,597.4086500,335.0316648,335.2821715,1009.408650,539.3510980,547.2837209,0.1315152093E-02,0.8240406873E-03,0.4487583079,0.000000000,50.08239874,1.415315577,51.49771432,0.9782426038,0.000000000,24.75901203,0.7482723636,25.50728440,1.066355843
8400.750000000,0.1325865488,0.1621221353,0.5858448382E-02,0.3632131144E-02,0.1278948311E-01,0.9356643554E-02,0.5722329132E-01,0.1806014850,-0.2125189848E-01,0.1289669239E-01,0.000000000,0.2744276864E-02,-0.1073564665E-01,0.6610407913E-02,0.000000000,0.1063846807E-01,0.1113346504,0.1750188277,0.5858448382E-02,0.6376408008E-02,0.2053836460E-02,0.1596705147E-01,0.5722329132E-01,0.1912399530,24.97571273,192.8140649,138.2828067,138.0512362,500.3140649,295.9378061,295.7068759,597.3140649,335.2466851,335.2821715,1009.314065,539.5501689,547.2837209,0.1313753726E-02,0.8237012679E-03,0.4487232262,0.000000000,48.67429987,1.375523068,50.04982294,0.9515574210,0.000000000,24.24303436,0.7326783716,24.97571273,1.042950381
8766.000000000,0.1355684330,0.1664293032,0.7474720580E-02,0.3727490747E-02,0.1295496369E-01,0.9518003770E-02,0.5902793204E-01,0.1827718373,-0.2148552912E-01,0.1301841184E-01,0.000000000,0.2816326341E-02,-0.1093601343E-01,0.6724407858E-02,0.000000000,0.1070406094E-01,0.1140829038,0.1794477151,0.7474720580E-02,0.6543817089E-02,0.2018950256E-02,0.1624241163E-01,0.5902793204E-01,0.1934758982,24.48673690,192.7222926,138.5074904,138.2828067,500.2222926,296.1618278,295.9378061,597.2222926,335.4496180,335.2821715,1009.222293,539.7425699,547.2837209,0.1312400030E-02,0.8233686308E-03,0.4486892247,0.000000000,47.16953196,1.332998721,48.50253068,0.9229725640,0.000000000,23.76840295,0.7183339557,24.48673690,1.021511655
9131.250000000,0.1384570419,0.1706373135,0.9424296041E-02,0.3822036178E-02,0.1311497780E-01,0.9675691394E-02,0.6079555200E-01,0.1849028108,-0.2171416422E-01,0.1313732911E-01,0.000000000,0.2887760667E-02,-0.1113223149E-01,0.6835813141E-02,0.000000000,0.1076846370E-01,0.1167428776,0.1837746426,0.9424296041E-02,0.6709796844E-02,0.1982746305E-02,0.1651150453E-01,0.6079555200E-01,0.1956712745,24.04245050,192.6325683,138.7271603,138.5074904,500.1325683,296.3809128,296.1618278,597.1325683,335.6534402,335.4496180,1009.132568,539.9334121,547.2837209,0.1311078862E-02,0.8230421609E-03,0.4486560020,0.000000000,46.08361645,1.302311031,47.38592748,0.9024020612,0.000000000,23.33714997,0.7053005324,24.04245050,1.002029558
9496.500000000,0.1412624421,0.1747575560,0.1135085784E-01,0.3915226376E-02,0.1326997137E-01,0.9830027101E-02,0.6252931803E-01,0.1869976603,-0.2193843836E-01,0.1325376610E-01,0.000000000,0.2958171038E-02,-0.1132467184E-01,0.6944850316E-02,0.000000000,0.1083177471E-01,0.1193240037,0.1880113221,0.1135085784E-01,0.6873397414E-02,0.1945299535E-02,0.1677487742E-01,0.6252931803E-01,0.1978294350,23.63488571,192.5446366,138.9424414,138.7271603,500.0446366,296.5956399,296.3809128,597.0446366,335.8549864,335.6534402,1009.044637,540.1216003,547.2837209,0.1309786551E-02,0.8227213526E-03,0.4486234684,0.000000000,45.12243705,1.275148351,46.39758540,0.8842784386,0.000000000,22.94154135,0.6933443607,23.63488571,0.9842039691
9861.750000000,0.1439899900,0.1787954481,0.1324286325E-01,0.4006906479E-02,0.1342034025E-01,0.9981297936E-02,0.6423206442E-01,0.1890593057,-0.2215863425E-01,0.1336787588E-01,0.000000000,0.3027440449E-02,-0.1151366738E-01,0.7051722178E-02,0.000000000,0.1089408221E-01,0.1218313558,0.1921633240,0.1324286325E-01,0.7034346928E-02,0.1906672867E-02,0.1703302011E-01,0.6423206442E-01,0.1999533879,23.26026517,192.4583812,139.1536185,138.9424414,499.9583812,296.8062788,296.5956399,596.9583812,336.0530430,335.8549864,1008.958381,540.3068180,547.2837209,0.1308521318E-02,0.8224057522E-03,0.4485915812,0.000000000,44.22058441,1.249662229,45.47024664,0.8672908915,0.000000000,22.57791054,0.6823546298,23.26026517,0.9678640037
10227.00000000,0.1466451071,0.1827570271,0.1510244132E-01,0.4097189522E-02,0.1356643682E-01,0.1012976150E-01,0.6590634888E-01,0.1910904040,-0.2237505609E-01,0.1347982907E-01,0.000000000,0.3095654304E-02,-0.1169951758E-01,0.7156610724E-02,0.000000000,0.1095546652E-01,0.1242700511,0.1962368561,0.1510244132E-01,0.7192843826E-02,0.1866919242E-02,0.1728637223E-01,0.6590634888E-01,0.2020458705,22.91562040,192.3736779,139.3609954,139.1536185,499.8736779,297.0131328,296.8062788,596.8736779,336.2478265,336.0530430,1008.873678,540.4892899,547.2837209,0.1307281197E-02,0.8220949473E-03,0.4485602931,0.000000000,43.38484847,1.226044549,44.61089301,0.8515603196,0.000000000,22.24337615,0.6722442569,22.91562040,0.9528697876
10592.25000000,0.1492329969,0.1866482371,0.1693212419E-01,0.4186186744E-02,0.1370857544E-01,0.1027564928E-01,0.6755447429E-01,0.1930933528,-0.2258800618E-01,0.1358979365E-01,0.000000000,0.3162896650E-02,-0.1188249209E-01,0.7259679489E-02,0.000000000,0.1101600008E-01,0.1266449907,0.2002380307,0.1693212419E-01,0.7349083393E-02,0.1826083354E-02,0.1753532877E-01,0.6755447429E-01,0.2041093529,22.59802718,192.2904041,139.5648727,139.3609954,499.7904041,297.2165018,297.0131328,596.7904041,336.4395960,336.2478265,1008.790404,540.6692375,547.2837209,0.1306064257E-02,0.8217885658E-03,0.4485295573,0.000000000,42.61420929,1.204266486,43.81847577,0.8370717423,0.000000000,21.93509972,0.6629274582,22.59802718,0.9390886967
