time,H1L1,H1L2,H1L3,H1L4,H2L1,H2L2,H3L2,H4L2
18627.75000000,97.14752854,97.00509923,104.9720942,112.9350923,110.4760523,110.4387719,101.4419657,92.39947200
18993.00000000,96.91591743,96.77386301,104.7478207,112.7178653,110.2657348,110.2285497,101.2342672,92.19432809
19358.25000000,96.68522291,96.54353049,104.5244654,112.5015398,110.0562004,110.0191102,101.0273106,91.98989491
19723.50000000,96.45522450,96.31389008,104.3017879,112.2858666,109.8476936,109.8107033,100.8215914,91.78693048
20088.75000000,96.22567724,96.08469585,104.0793688,112.0702417,109.6402148,109.6033240,100.6168711,91.58492056
20454.00000000,95.99684393,95.85622011,103.8577803,111.8555922,109.4335725,109.3967770,100.4128253,91.38341108
20819.25000000,95.76874489,95.62847841,103.6369040,111.6416248,109.2277014,109.1909995,100.2094786,91.18253310
21184.50000000,95.54137072,95.40146116,103.4168035,111.4284889,109.0225523,108.9859430,100.0067962,90.98226122
21549.75000000,95.31487038,95.17532021,103.1977318,111.2165474,108.8180965,108.7815788,99.80477659,90.78262284
21915.00000000,95.08904602,94.94985088,102.9791989,111.0049840,108.6161988,108.5798052,99.60515838,90.58527228
22280.25000000,105.4101621,105.6105452,109.8920660,114.1930674,111.5283844,111.5859084,113.0420211,114.5426197
22645.50000000,110.8487273,110.9549557,113.5006857,116.0573310,113.3539690,113.3905389,114.4640326,115.5424315
23010.75000000,113.9617670,114.0230425,115.6680976,117.3202255,114.5792700,114.6040568,115.4024278,116.2042336
23376.00000000,115.9029014,115.9414438,117.0882949,118.2400954,115.4648428,115.4829171,116.1100089,116.7398076
23741.25000000,117.2147865,117.2410634,118.0929347,118.9484962,116.1455502,116.1595454,116.6734097,117.1895001
24106.50000000,118.1653825,118.1845692,118.8496664,119.5176554,116.6945740,116.7059252,117.1403822,117.5767275
24471.75000000,118.8939196,118.9087140,119.4479698,119.9895785,117.1536068,117.1631356,117.5388661,117.9162340
24837.00000000,119.4768064,119.4886970,119.9384243,120.3901202,117.5475818,117.5557826,117.8860606,118.2177812
25202.25000000,119.9584157,119.9682724,120.3513326,120.7360745,117.8921493,117.8993345,118.1931010,118.4881534
25567.50000000,120.3659999,120.3743607,120.7059006,121.0389000,118.1976216,118.2039984,118.4675653,118.7322879
25932.75000000,120.7172103,120.7244259,121.0149524,121.3067609,118.4711267,118.4768396,118.7148623,118.9539304
26298.00000000,121.0240487,121.0303592,121.2874584,121.5456947,118.7178220,118.7229762,118.9390265,119.1560273
26663.25000000,121.2950341,121.3006109,121.5299510,121.7603077,118.9415980,118.9462734,119.1431864,119.3409668
27028.50000000,121.5364420,121.5414119,121.7473526,121.9542078,119.1454994,119.1497589,119.3298483,119.5107321
27393.75000000,121.7530428,121.7575028,121.9434788,122.1302823,119.3319833,119.3358779,119.5010747,119.6670013
27759.00000000,121.9485598,121.9525858,122.1213586,122.2908836,119.5030824,119.5066545,119.6585990,119.8112156
28124.25000000,122.1259636,122.1296162,122.2834435,122.4379575,119.6605121,119.6637974,119.8039018,119.9446267
28489.50000000,122.2876679,122.2909965,122.4317502,122.5731334,119.8057418,119.8087711,119.9382638,120.0683308
28854.75000000,122.4356641,122.4387097,122.5679605,122.6977902,119.9400451,119.9428452,120.0628034,120.1832943
29220.00000000,122.5716163,122.5744131,122.6934922,122.8131055,120.0645362,120.0671303,120.1785043,120.2903735
29585.25000000,122.6969305,122.6995074,122.8095527,122.9200924,120.1801958,120.1826045,120.2862366,120.3903300
29950.50000000,122.8128051,122.8151869,122.9171782,123.0196284,120.2878921,120.2901337,120.3867732,120.4838436
30315.75000000,122.9202699,122.9224778,123.0172643,123.1124780,120.3883969,120.3904876,120.4808032,120.5715219
30681.00000000,123.0202157,123.0222681,123.1105900,123.1993104,120.4823981,120.4843524,120.5689420,120.6539097
31046.25000000,123.1134178,123.1153307,123.1978361,123.2807142,120.5705109,120.5723416,120.6517410,120.7314959
31411.50000000,123.2005543,123.2023417,123.2796006,123.3572091,120.6532861,120.6550048,120.7296949,120.8047198
31776.75000000,123.2822210,123.2838953,123.3564111,123.4292555,120.7312180,120.7328351,120.8032481,120.8739770
32142.00000000,123.3589436,123.3605156,123.4287343,123.4972626,120.8047508,120.8062757,120.8728001,120.9396235
