time,X005,X405,X1105
93.50000000000,1.000000000,0.9998552414,0.1329675647
94.00000000000,1.000000000,0.9998686409,0.1405498117
94.50000000000,1.000000000,0.9998808216,0.1483854788
95.00000000000,1.000000000,0.9998918921,0.1564722911
95.50000000000,1.000000000,0.9999019514,0.1648073619
96.00000000000,1.000000000,0.9999110901,0.1733871957
96.50000000000,1.000000000,0.9999193907,0.1822076931
97.00000000000,1.000000000,0.9999269286,0.1912641599
97.50000000000,1.000000000,0.9999337726,0.2005513171
98.00000000000,1.000000000,0.9999399853,0.2100633151
98.50000000000,1.000000000,0.9999456239,0.2197937496
99.00000000000,1.000000000,0.9999507405,0.2297356796
99.50000000000,1.000000000,0.9999553826,0.2398816486
100.0000000000,1.000000000,0.9999595934,0.2502237074
100.5000000000,1.000000000,0.9999634123,0.2607534387
101.0000000000,1.000000000,0.9999668752,0.2714619840
101.5000000000,1.000000000,0.9999700148,0.2823400718
102.0000000000,1.000000000,0.9999728607,0.2933780481
102.5000000000,1.000000000,0.9999754400,0.3045659067
103.0000000000,1.000000000,0.9999777772,0.3158933225
103.5000000000,1.000000000,0.9999798949,0.3273496840
104.0000000000,1.000000000,0.9999818132,0.3389241282
104.5000000000,1.000000000,0.9999835507,0.3506055747
105.0000000000,1.000000000,0.9999851241,0.3623827612
105.5000000000,1.000000000,0.9999865489,0.3742442784
106.0000000000,1.000000000,0.9999878387,0.3861786059
106.5000000000,1.000000000,0.9999890062,0.3981741466
107.0000000000,1.000000000,0.9999900629,0.4102192625
107.5000000000,1.000000000,0.9999910192,0.4223023083
108.0000000000,1.000000000,0.9999918844,0.4344116656
108.5000000000,1.000000000,0.9999926671,0.4465357758
109.0000000000,1.000000000,0.9999933752,0.4586631719
109.5000000000,1.000000000,0.9999940156,0.4707825098
110.0000000000,1.000000000,0.9999945947,0.4828825982
110.5000000000,1.000000000,0.9999951183,0.4949524267
111.0000000000,1.000000000,0.9999955917,0.5069811933
111.5000000000,1.000000000,0.9999960196,0.5189583303
112.0000000000,1.000000000,0.9999964064,0.5308735280
112.5000000000,1.000000000,0.9999967559,0.5427167578
113.0000000000,1.000000000,0.9999970718,0.5544782929
113.5000000000,1.000000000,0.9999973572,0.5661487276
114.0000000000,1.000000000,0.9999976151,0.5777189948
114.5000000000,1.000000000,0.9999978480,0.5891803823
115.0000000000,1.000000000,0.9999980583,0.6005245462
115.5000000000,1.000000000,0.9999982483,0.6117435241
116.0000000000,1.000000000,0.9999984199,0.6228297453
116.5000000000,1.000000000,0.9999985748,0.6337760403
117.0000000000,1.000000000,0.9999987146,0.6445756478
117.5000000000,1.000000000,0.9999988409,0.6552222210
118.0000000000,1.000000000,0.9999989548,0.6657098315
118.5000000000,1.000000000,0.9999990577,0.6760329716
119.0000000000,1.000000000,0.9999991505,0.6861865552
119.5000000000,1.000000000,0.9999992342,0.6961659164
120.0000000000,1.000000000,0.9999993097,0.7059668065
